BUS,YEAR,MONTH,Weekday,Saturday,Sunday - Holiday,Sum
103,1999,1,3640.0,1337.0,944.0,5921
103,1999,10,4281.0,1975.0,1221.0,7477
103,1999,11,3746.0,1686.0,1187.0,6619
103,1999,12,3431.0,1924.0,1074.0,6429
103,1999,2,4342.0,1559.0,1238.0,7139
103,1999,3,4257.0,1679.0,1480.0,7416
103,1999,4,4029.0,1861.0,1229.0,7119
103,1999,5,4296.0,1667.0,1354.0,7317
103,1999,6,3592.0,1546.0,1189.0,6327
103,1999,7,3413.0,1826.0,1115.0,6354
103,1999,8,3563.0,1796.0,1289.0,6648
103,1999,9,4327.0,2098.0,1272.0,7697
103,2000,1,4032.0,1634.0,1035.0,6701
103,2000,10,4086.0,1729.0,1225.0,7040
103,2000,11,3773.0,1588.0,1262.0,6623
103,2000,12,3420.0,1461.0,989.0,5870
103,2000,2,4299.0,1819.0,980.0,7098
103,2000,3,4106.0,1672.0,1118.0,6896
103,2000,4,3765.0,1779.0,1199.0,6743
103,2000,5,4013.0,1769.0,1190.0,6972
103,2000,6,3493.0,1625.0,1278.0,6396
103,2000,7,3333.0,1678.0,1295.0,6306
103,2000,8,3307.0,1686.0,1308.0,6301
103,2000,9,4181.0,1655.0,1285.0,7121
103,2001,1,3705.0,1565.0,1071.0,6341
103,2001,10,4029.0,1504.0,1214.0,6747
103,2001,11,3942.0,1808.0,1156.0,6906
103,2001,12,3714.0,1592.0,1049.0,6355
103,2001,2,3852.0,1458.0,1156.0,6466
103,2001,3,3883.0,1681.0,1196.0,6760
103,2001,4,3412.0,1936.0,1171.0,6519
103,2001,5,3877.0,1752.0,1134.0,6763
103,2001,6,3570.0,1676.0,1307.0,6553
103,2001,7,3551.0,1607.0,1366.0,6524
103,2001,8,3413.0,1554.0,1161.0,6128
103,2001,9,4255.0,1710.0,1195.0,7160
103,2002,1,3689.0,1550.0,1094.0,6333
103,2002,10,4240.0,1567.0,1251.0,7058
103,2002,11,3876.0,1714.0,969.0,6559
103,2002,12,3584.0,1600.0,1063.0,6247
103,2002,2,3832.0,1953.0,1100.0,6885
103,2002,3,3868.0,1514.0,1046.0,6428
103,2002,4,3603.0,1442.0,1103.0,6148
103,2002,5,3891.0,1575.0,1085.0,6551
103,2002,6,3477.0,1738.0,1158.0,6373
103,2002,7,3308.0,1482.0,1255.0,6045
103,2002,8,3147.0,1731.0,1248.0,6126
103,2002,9,4258.0,1611.0,1334.0,7203
103,2003,1,3762.0,1560.0,1022.0,6344
103,2003,10,3924.0,1502.0,1021.0,6447
103,2003,11,3702.0,1537.0,1033.0,6272
103,2003,12,3458.0,1477.0,1058.0,5993
103,2003,2,3700.0,1768.0,1155.0,6623
103,2003,3,3779.0,1584.0,1365.0,6728
103,2003,4,3699.0,1567.0,1062.0,6328
103,2003,5,4084.0,1603.0,1156.0,6843
103,2003,6,3475.0,1450.0,1106.0,6031
103,2003,7,2770.0,1382.0,1066.0,5218
103,2003,8,2648.0,1481.0,1021.0,5150
103,2003,9,4105.0,1425.0,998.0,6528
103,2004,1,3531.0,1583.0,1097.0,6211
103,2004,10,4617.0,1878.0,1130.0,7625
103,2004,11,4248.0,1743.0,1104.0,7095
103,2004,12,3446.0,1871.0,883.0,6200
103,2004,2,3726.0,1500.0,998.0,6224
103,2004,3,3755.0,1596.0,1066.0,6417
103,2004,4,3391.0,1568.0,982.0,5941
103,2004,5,4146.0,1563.0,1216.0,6925
103,2004,6,3529.0,1637.0,1074.0,6240
103,2004,7,3032.0,1557.0,988.0,5577
103,2004,8,2802.0,1609.0,960.0,5371
103,2004,9,4943.0,1739.0,1265.0,7947
103,2005,1,3901.0,1308.0,1033.0,6242
103,2005,10,4435.0,1842.0,1139.0,7416
103,2005,11,3896.0,1716.0,943.0,6555
103,2005,12,3572.0,1679.0,933.0,6184
103,2005,2,4240.0,2314.0,1000.0,7554
103,2005,3,3638.0,2112.0,1080.0,6830
103,2005,4,3973.0,1935.0,1082.0,6990
103,2005,5,4149.0,1751.0,1165.0,7065
103,2005,6,3369.0,1761.0,1159.0,6289
103,2005,7,3116.0,1714.0,1254.0,6084
103,2005,8,3242.0,1743.0,1191.0,6176
103,2005,9,4346.0,1869.0,1206.0,7421
103,2006,1,3709.0,1650.0,862.0,6221
103,2006,10,3866.0,1603.0,1072.0,6541
103,2006,11,3631.0,1540.0,883.0,6054
103,2006,12,3438.0,1740.0,776.0,5954
103,2006,2,4142.0,1779.0,912.0,6833
103,2006,3,4200.0,1754.0,1033.0,6987
103,2006,4,3638.0,1793.0,975.0,6406
103,2006,5,4197.0,1662.0,1248.0,7107
103,2006,6,3324.0,1753.0,1155.0,6232
103,2006,7,2765.0,1829.0,1224.0,5818
103,2006,8,2843.0,1868.0,1074.0,5785
103,2006,9,4026.0,1555.0,971.0,6552
103,2007,1,3416.0,1296.0,875.0,5587
103,2007,10,3897.0,2033.0,1205.0,7135
103,2007,11,3479.0,1935.0,1120.0,6534
103,2007,12,3315.0,1776.0,938.0,6029
103,2007,2,3584.0,1181.0,915.0,5680
103,2007,3,3796.0,1516.0,1010.0,6322
103,2007,4,3323.0,1980.0,1311.0,6614
103,2007,5,3658.0,2005.0,1060.0,6723
103,2007,6,3028.0,1871.0,1222.0,6121
103,2007,7,2949.0,1692.0,1309.0,5950
103,2007,8,2866.0,1877.0,992.0,5735
103,2007,9,3944.0,2031.0,1412.0,7387
103,2008,1,3394.0,1564.0,1110.0,6068
103,2008,10,4377.0,2165.0,1298.0,7840
103,2008,11,3998.0,1955.0,1169.0,7122
103,2008,12,3387.0,1760.0,963.0,6110
103,2008,2,3494.0,1817.0,1035.0,6346
103,2008,3,3508.0,1760.0,1198.0,6466
103,2008,4,3922.0,1837.0,1179.0,6938
103,2008,5,4097.0,1991.0,1098.0,7186
103,2008,6,3479.0,1947.0,1313.0,6739
103,2008,7,3389.0,1929.0,1474.0,6792
103,2008,8,3233.0,2199.0,1306.0,6738
103,2008,9,4520.0,2197.0,1292.0,8009
103,2009,1,3731.0,1812.0,1062.0,6605
103,2009,10,3988.0,1734.0,1395.0,7117
103,2009,11,3932.0,1798.0,1340.0,7070
103,2009,12,3334.0,1567.0,1196.0,6097
103,2009,2,3999.0,2062.0,1394.0,7455
103,2009,3,4038.0,1875.0,1444.0,7357
103,2009,4,3639.0,1806.0,1180.0,6625
103,2009,5,3979.0,1949.0,1310.0,7238
103,2009,6,3304.0,1804.0,1410.0,6518
103,2009,7,3263.0,1753.0,1587.0,6603
103,2009,8,3063.0,2010.0,1323.0,6396
103,2009,9,4165.0,1900.0,1477.0,7542
103,2010,1,3820.0,1727.0,1240.0,6787
103,2010,10,3691.0,1945.0,1453.0,7089
103,2010,11,3483.0,1832.0,1373.0,6688
103,2010,12,2765.0,1565.0,925.0,5255
103,2010,2,3727.0,1808.0,1291.0,6826
103,2010,3,3628.0,1775.0,1177.0,6580
103,2010,4,3451.0,1872.0,1272.0,6595
103,2010,5,3670.0,2053.0,1282.0,7005
103,2010,6,3267.0,1838.0,1398.0,6503
103,2010,7,3032.0,1938.0,1408.0,6378
103,2010,8,3095.0,2110.0,1531.0,6736
103,2010,9,3861.0,1913.0,1555.0,7329
103,2011,1,3455.0,1575.0,1328.0,6358
103,2011,10,3919.0,2053.0,1482.0,7454
103,2011,11,3642.0,2038.0,1459.0,7139
103,2011,12,3409.0,1797.0,1424.0,6630
103,2011,2,3365.0,1855.0,1355.0,6575
103,2011,3,3666.0,1792.0,1315.0,6773
103,2011,4,3337.0,1900.0,1455.0,6692
103,2011,5,3586.0,1659.0,1431.0,6676
103,2011,6,3190.0,1873.0,1564.0,6627
103,2011,7,2945.0,1895.0,1497.0,6337
103,2011,8,3125.0,1863.0,1534.0,6522
103,2011,9,3991.0,2010.0,1571.0,7572
103,2012,1,3550.0,1702.0,1302.0,6554
103,2012,10,3920.0,1830.0,1430.0,7180
103,2012,11,3629.0,1788.0,1442.0,6859
103,2012,12,3065.0,1628.0,1188.0,5881
103,2012,2,3751.0,1873.0,1501.0,7125
103,2012,3,3774.0,1882.0,1655.0,7311
103,2012,4,3384.0,1846.0,1449.0,6679
103,2012,5,3724.0,1865.0,1431.0,7020
103,2012,6,3262.0,1935.0,1520.0,6717
103,2012,7,2989.0,1631.0,1515.0,6135
103,2012,8,3058.0,1892.0,1502.0,6452
103,2012,9,3680.0,1906.0,1565.0,7151
103,2013,1,3222.0,1587.0,1092.0,5901
103,2013,10,3106.0,1433.0,1114.0,5653
103,2013,11,2919.0,1431.0,1029.0,5379
103,2013,12,2560.0,1291.0,951.0,4802
103,2013,2,3306.0,1641.0,1075.0,6022
103,2013,3,3191.0,1661.0,1085.0,5937
103,2013,4,3269.0,1561.0,1169.0,5999
103,2013,5,3102.0,1517.0,1106.0,5725
103,2013,6,2602.0,1443.0,1091.0,5136
103,2013,7,2379.0,1397.0,1172.0,4948
103,2013,8,2410.0,1367.0,1147.0,4924
