BUS,YEAR,MONTH,Weekday,Saturday,Sunday - Holiday,Sum,DATE
146,1999,1,8266.0,4088.0,2938.0,15292,1999-01-01
146,1999,10,9631.0,6399.0,4696.0,20726,1999-10-01
146,1999,11,8868.0,5962.0,3721.0,18551,1999-11-01
146,1999,12,8745.0,5972.0,3543.0,18260,1999-12-01
146,1999,2,9094.0,5440.0,3585.0,18119,1999-02-01
146,1999,3,9649.0,5394.0,3957.0,19000,1999-03-01
146,1999,4,9804.0,5946.0,3854.0,19604,1999-04-01
146,1999,5,9682.0,5564.0,4442.0,19688,1999-05-01
146,1999,6,10479.0,6815.0,4200.0,21494,1999-06-01
146,1999,7,10329.0,6342.0,4777.0,21448,1999-07-01
146,1999,8,10461.0,6524.0,5109.0,22094,1999-08-01
146,1999,9,9782.0,5981.0,4798.0,20561,1999-09-01
146,2000,1,8565.0,4575.0,2983.0,16123,2000-01-01
146,2000,10,10485.0,5988.0,3988.0,20461,2000-10-01
146,2000,11,9611.0,5869.0,3443.0,18923,2000-11-01
146,2000,12,9005.0,5299.0,3075.0,17379,2000-12-01
146,2000,2,9108.0,5339.0,3557.0,18004,2000-02-01
146,2000,3,9726.0,5619.0,3898.0,19243,2000-03-01
146,2000,4,9862.0,5905.0,3853.0,19620,2000-04-01
146,2000,5,10233.0,4772.0,4255.0,19260,2000-05-01
146,2000,6,10853.0,6468.0,4281.0,21602,2000-06-01
146,2000,7,10370.0,6048.0,4580.0,20998,2000-07-01
146,2000,8,10069.0,6099.0,4109.0,20277,2000-08-01
146,2000,9,9851.0,5983.0,4202.0,20036,2000-09-01
146,2001,1,9355.0,5362.0,3117.0,17834,2001-01-01
146,2001,10,9015.0,5746.0,5560.0,20321,2001-10-01
146,2001,11,9115.0,5880.0,4933.0,19928,2001-11-01
146,2001,12,9049.0,5510.0,3846.0,18405,2001-12-01
146,2001,2,9206.0,5636.0,3354.0,18196,2001-02-01
146,2001,3,9820.0,6422.0,3861.0,20103,2001-03-01
146,2001,4,9846.0,6027.0,3998.0,19871,2001-04-01
146,2001,5,9743.0,6206.0,4160.0,20109,2001-05-01
146,2001,6,9561.0,6232.0,4577.0,20370,2001-06-01
146,2001,7,10290.0,6332.0,4763.0,21385,2001-07-01
146,2001,8,9958.0,6452.0,4593.0,21003,2001-08-01
146,2001,9,8887.0,5417.0,4914.0,19218,2001-09-01
146,2002,1,8769.0,5731.0,3552.0,18052,2002-01-01
146,2002,10,9181.0,6614.0,4009.0,19804,2002-10-01
146,2002,11,8808.0,6095.0,3661.0,18564,2002-11-01
146,2002,12,8350.0,5669.0,3722.0,17741,2002-12-01
146,2002,2,9263.0,6295.0,3839.0,19397,2002-02-01
146,2002,3,9470.0,5809.0,3489.0,18768,2002-03-01
146,2002,4,9567.0,6085.0,3501.0,19153,2002-04-01
146,2002,5,9619.0,6023.0,4240.0,19882,2002-05-01
146,2002,6,9436.0,6161.0,4481.0,20078,2002-06-01
