year,month,expenses
2015,1,45225302.20999999
2015,2,63962849.47
2015,3,68182647.81
2015,4,66770298.55
2015,5,69911759.60999998
2015,6,42318564.78
2015,7,38195922.4
2015,8,51094771.36
2015,9,23234899.630000003
2015,10,56354601.17
2015,11,43751071.11000001
2015,12,57246796.25
2016,1,34684507.22
2016,2,62854372.54
2016,3,58636507.07
2016,4,43215083.53
2016,5,54746766.12
2016,6,49925513.8
2016,7,56139891.9
2016,8,49098735.949999996
2016,9,57100490.23
2016,10,37504195.17999999
2016,11,45327510.14
2016,12,40597984.96
2017,1,27445956.68
2017,2,41531492.47
2017,3,44268867.14
2017,4,29365098.13
2017,5,54339125.879999995
2017,6,58801489.21
2017,7,47354901.54000001
2017,8,41878805.6
2017,9,34680800.85
2017,10,47142302.47
2017,11,40079855.94
2017,12,56332825.72
2018,1,43006869.01
2018,2,59419885.2
2018,3,48514853.9
2018,4,61406323.74
2018,5,52274644.24
2018,6,27691703.849999998
2018,7,63891186.03
2018,8,88942208.39
2018,9,35142150.58
2018,10,37364002.379999995
2018,11,48984128.99
2018,12,54816708.339999996
2019,1,11959322.59
2019,2,9933151.969999999
2019,3,23930777.5
2019,4,12297545.74
2019,5,18351907.41
2019,6,15353314.939999998
2019,7,13073764.379999999
2019,8,15950358.629999999
2019,9,15039075.43
2019,10,51990993.669999994
2019,11,29768466.349999998
2019,12,14878938.379999999
2020,1,14237118.26
2020,2,10185853.120000001
2020,3,14413910.389999999
2020,4,14187148.79
2020,5,11891617.780000001
2020,6,20068932.73
2020,7,11532396.83
2020,8,13242576.08
2020,9,11941050.430000002
2020,10,13691510.32
2020,11,12917270.120000001
2020,12,13019459.65
2021,1,14325711.690000001
2021,2,13884744.120000001
2021,3,18887482.09
2021,4,15008373.95
2021,5,15516505.02
2021,6,12175435.66
2021,7,14271194.850000001
2021,8,9077603.89
2021,9,16862361.33
2021,10,13169842.329999998
2021,11,11939584.14
2021,12,13822348.53
2022,1,14257807.629999999
2022,2,14661454.389999999
2022,3,19842231.01
2022,4,14064862.0
2022,5,14000527.850000001
2022,6,14820505.52
2022,7,10429690.649999999
2022,8,16729211.42
2022,9,14716413.18
2022,10,19139363.8
2022,11,13790592.58
2022,12,15397051.17
2023,1,21154078.9
2023,2,18320959.340000004
2023,3,24871243.68
2023,4,15831336.829999998
2023,5,22886394.18
2023,6,19075124.56
2023,7,24875856.300000004
2023,8,26300098.05
2023,9,18425085.8
2023,10,19866292.11
2023,11,22546716.75
2023,12,17976510.46
2024,1,17664996.729999997
2024,2,25487176.96
2024,3,30353711.500000004
2024,4,29728735.57
2024,5,27040003.599999998
2024,6,21569144.05
2024,7,23803285.75
2024,8,26876230.430000003
2024,9,21420993.87
2024,10,30027294.36
2024,11,12254093.61
2024,12,40907731.71
2025,1,26890076.87
2025,2,35696753.89
2025,3,25281049.22
2025,4,26470373.3
